n04403638	telescope, scope
n12304703	European ash, common European ash, Fraxinus excelsior
n03848348	opener
n07801892	broad bean, horse bean
n02268148	odonate
n11757851	huisache, cassie, mimosa bush, sweet wattle, sweet acacia, scented wattle, flame tree, Acacia farnesiana
n02103841	watchdog, guard dog
n02786198	bandanna, bandana
n03169176	decolletage
n03863262	overall, boilersuit, boilers suit
n01704323	triceratops
n10054657	employer
n12269241	live oak
n01807105	tragopan
n03253796	duffel, duffle
n01806297	peahen
n11448153	dust storm, duster, sandstorm, sirocco
n07928367	ginger ale, ginger pop
n03995265	power cord
n02686379	air conditioner, air conditioning
n03019434	chino
n07732747	cress
n07620689	maraschino, maraschino cherry
n12969131	earthball, false truffle, puffball, hard-skinned puffball
n02933462	cabinet, locker, storage locker
n04405540	television equipment, video equipment
n03504723	headquarters, central office, main office, home office, home base
n01848123	teal
n01857851	barnacle goose, barnacle, Branta leucopsis
n09650729	Biloxi
n01558307	fieldfare, snowbird, Turdus pilaris
n02469914	primate
n03228967	dovetail, dovetail joint
n13037406	gyromitra
n02069701	bottlenose dolphin, bottle-nosed dolphin, bottlenose
n03091044	connecting rod
n12695144	mahogany, mahogany tree
n02710044	andiron, firedog, dog, dog-iron
n07560193	fast food
n02988156	CD drive
n01642257	pickerel frog, Rana palustris
n07565161	chow, chuck, eats, grub
n12098403	plumbago
n07585758	gazpacho
n04198797	shock absorber, shock, cushion
n02102318	cocker spaniel, English cocker spaniel, cocker
n07736813	taro, taro root, cocoyam, dasheen, edda
n04322026	stock, gunstock
n09695620	Bulgarian
n12003696	hawkweed
n11934616	New England aster, Aster novae-angliae
n12258101	one-flowered wintergreen, one-flowered pyrola, Moneses uniflora, Pyrola uniflora
n04608435	writing desk
n03212114	disposal, electric pig, garbage disposal
n01671479	desert tortoise, Gopherus agassizii
n02759257	autofocus
n12261808	American beech, white beech, red beech, Fagus grandifolia, Fagus americana
n01563449	gnatcatcher
n03233744	drawbridge, lift bridge
n07751280	pitahaya
n11892637	stock, gillyflower
n09763784	acquaintance, friend
n04317976	stick, control stick, joystick
n12486574	flax
n07698543	Reuben
n02281015	small white, Pieris rapae
n11636835	juniper berry
n04229737	ski lodge
n09454412	tangle
n03336575	filament
n03361297	flatlet
n03199647	diner
n12011620	dusty miller, Senecio cineraria, Cineraria maritima
n04414675	Tesla coil
n03531281	hood
n03283221	emergency room, ER
n03212811	distillery, still
n04252225	snowplow, snowplough
n04023962	punching bag, punch bag, punching ball, punchball
n03759954	microphone, mike
n04035912	quoin, coign, coigne
n04545305	walker, baby-walker, go-cart
n15090065	vitamin A1, retinol
n07610620	baked Alaska
n07876189	sauerkraut
n07807171	salad nicoise
n12801520	parnassia, grass-of-Parnassus
n01945685	slug
n03525074	hoist
n01698434	alligator, gator
n03301568	euphonium
n04533802	videocassette recorder, VCR
n03291741	envelope
n09718936	Korean
n01489709	sandbar shark, Carcharhinus plumbeus
n04065789	recycling bin
n12026981	yellow salsify, Tragopogon dubius
n01915700	sea pen
n01737728	water moccasin
n12144580	corn
n10195593	hypocrite, dissembler, dissimulator, phony, phoney, pretender
n04356925	sun parlor, sun parlour, sun porch, sunporch, sunroom, sun lounge, solarium
n02975212	case, display case, showcase, vitrine
n02918964	bumper car, Dodgem
n04266486	spade
n04461570	towpath, towing path
n04028315	puzzle
n01592694	blue tit, tomtit, Parus caeruleus
n04586581	winder, key
n03105467	corbel, truss
n07763987	mangosteen
n04297098	stagecoach, stage
n10525617	retiree, retired person
n01733757	bull snake, bull-snake
n12552309	sainfoin, sanfoin, holy clover, esparcet, Onobrychis viciifolia, Onobrychis viciaefolia
n03427296	gate
n03781787	monitor
n10259780	lieutenant colonel, light colonel
n09873899	breeder, stock breeder
n03676623	liqueur glass
n10060352	entrepreneur, enterpriser
n15019030	sand
n03186818	dial, telephone dial
n04176190	serving dish
n04043411	radio-phonograph, radio-gramophone
n01316949	work animal
n04525191	velveteen
n01887896	calf
n03099274	convenience store
n13043926	puffball, true puffball
n03239054	dress suit, full dress, tailcoat, tail coat, tails, white tie, white tie and tails
n03718789	mansard, mansard roof
n09289331	glacier
n03115897	couch
n06596364	comic book
n04605163	worsted
n04610274	yagi, Yagi aerial
n04402057	telephone line, phone line, telephone circuit, subscriber line, line
n11735053	hepatica, liverleaf
n01795545	black grouse
n07814203	cinnamon
n04541987	voting booth
n02355477	tree squirrel
n09189157	aerie, aery, eyrie, eyry
n02950632	cannon
n03598930	jigsaw puzzle
n07682316	dark bread, whole wheat bread, whole meal bread, brown bread
n02101388	Brittany spaniel
n04070727	refrigerator, icebox
n03048883	closed circuit, loop
n01518878	ostrich, Struthio camelus
n04405907	television receiver, television, television set, tv, tv set, idiot box, boob tube, telly, goggle box
n02981024	catacomb
n04033995	quilt, comforter, comfort, puff
n03616979	kid glove, suede glove
n04518132	vacuum flask, vacuum bottle
n02882647	bowling pin, pin
n07617708	plum pudding, Christmas pudding
n01566645	babbler, cackler
n07623136	pastry, pastry dough
n03691817	lounge, waiting room, waiting area
n03211117	display, video display
n02936570	caftan, kaftan
n02873733	bootee, bootie
n12190869	durian, durion, durian tree, Durio zibethinus
n01594372	swallow
n02486657	chacma, chacma baboon, Papio ursinus
n12001707	cineraria, Pericallis cruenta, Senecio cruentus
n03316105	facsimile, facsimile machine, fax
n03029445	churn, butter churn
n11953610	chicory, chicory root
n03025165	choo-choo
n07722052	tabasco, red pepper
n01976868	brachyuran
n03359436	flash memory
n11552976	biennial
n02640857	beluga, hausen, white sturgeon, Acipenser huso
n11814584	soapwort, hedge pink, bouncing Bet, bouncing Bess, Saponaria officinalis
n12384037	granadilla, giant granadilla, Passiflora quadrangularis
n04557648	water bottle
n01735439	common garter snake, Thamnophis sirtalis
n04080138	resonator
n02324587	bunny, bunny rabbit
n01841102	sapsucker
n02094433	Yorkshire terrier
n11944954	musk thistle, nodding thistle, Carduus nutans
n03047052	clock tower
n03020692	chisel
n04401949	telephone jack, phone jack
n07878785	stuffed tomato, hot stuffed tomato
n04338517	stringed instrument
n03822656	newsstand
n02052775	frigate bird, man-of-war bird
n11725821	wood anemone, Anemone nemorosa
n12604228	sour dock, garden sorrel, Rumex acetosa
n03718212	man-of-war, ship of the line
n03538179	horsebox
n04325704	stole
n11860208	siskiyou lewisia, Lewisia cotyledon
n04122578	sabot, wooden shoe
n10791221	workman, workingman, working man, working person
n03187268	dialog box, panel
n07895100	Pinot blanc
n03064350	coffer
n09403734	range, mountain range, range of mountains, chain, mountain chain, chain of mountains
n11727738	granny's bonnets, Aquilegia vulgaris
n02192513	flesh fly, Sarcophaga carnaria
n02992032	cellblock, ward
n11845913	golden barrel cactus, Echinocactus grusonii
n07690585	Yorkshire pudding
n07642471	conserve, preserve, conserves, preserves
n03688943	lookout, observation tower, lookout station, observatory
n07906572	blended whiskey, blended whisky
n02527057	tuna, Anguilla sucklandii
n04246855	smoker, smoking car, smoking carriage, smoking compartment
n02687423	aircraft engine
n03188531	diaper, nappy, napkin
n07816575	hyssop
n07807710	pasta salad
n03449309	gouge
n02023992	killdeer, kildeer, killdeer plover, Charadrius vociferus
n12388989	horned violet, tufted pansy, Viola cornuta
n03886053	panzer
n02485536	vervet, vervet monkey, Cercopithecus aethiops pygerythrus
n12496427	Kentucky coffee tree, bonduc, chicot, Gymnocladus dioica
n07871436	meatball
n03614007	keyboard
n07894703	Montrachet
n04001845	pressure suit
n10134178	goat herder, goatherd
n03547054	hovel, hut, hutch, shack, shanty
n02359324	prairie dog, prairie marmot
n01792640	hen, biddy
n03471190	gusset, inset
n02993194	cenotaph, empty tomb
n03401129	fuel gauge, fuel indicator
n02324514	lapin
n07714802	red cabbage
n11737534	pasqueflower, pasque flower
n11619227	American larch, tamarack, black larch, Larix laricina
n02950943	cannonball, cannon ball, round shot
n02822220	bedspread, bedcover, bed cover, bed covering, counterpane, spread
n02563182	freshwater bream, bream
n09722658	Mexican
n01671125	gopher tortoise, gopher turtle, gopher, Gopherus polypemus
n10341573	Muslimah
n10802507	yard bird, yardbird
n03847471	onion dome
n01856072	gosling
n02538216	brook trout, speckled trout, Salvelinus fontinalis
n02954163	canvas tent, canvas, canvass
n02851939	blindfold
n03345487	fire engine, fire truck
n04496872	tumbler
n07713895	cabbage, chou
n03173929	delivery truck, delivery van, panel truck
n07922764	cocoa, chocolate, hot chocolate, drinking chocolate
n03425325	gas oven
n04004475	printer, printing machine
n01808140	red-legged partridge, Alectoris ruffa
n10504206	radiologist, radiotherapist
n07584332	bisque
n02885108	boxcar
n07715561	squash
n02366959	coypu, nutria, Myocastor coypus
n12703190	common wood sorrel, cuckoo bread, shamrock, Oxalis acetosella
n12306717	jasmine
n12891469	water speedwell, Veronica michauxii, Veronica anagallis-aquatica
n01881171	phalanger, opossum, possum
n07908411	absinth, absinthe
n02548247	goosefish, angler, anglerfish, angler fish, monkfish, lotte, allmouth, Lophius Americanus
n12064389	fragrant orchid, Gymnadenia conopsea
n09792969	anchor, anchorman, anchorperson
n03342127	finger-painting
n09988493	Dalai Lama, Grand Lama
n04056180	rattan, ratan
n03544238	hour hand, little hand
n03579538	interior door
n13183056	hart's-tongue, hart's-tongue fern, Asplenium scolopendrium, Phyllitis scolopendrium
n02840134	binder, ligature
n02099029	retriever
n02430830	fawn
n02970408	carryall, holdall, tote, tote bag
n10607478	skinhead
n12269652	white oak
n03915900	perforation
n13134947	fruit
n04311004	steel arch bridge
n01859190	mute swan, Cygnus olor
n13017240	sandy mushroom, Tricholoma populinum
n02761557	automobile engine
n07605474	fudge
n03696065	luggage compartment, automobile trunk, trunk
n07916041	martini
n03207743	dishrag, dishcloth
n01756508	Western diamondback, Western diamondback rattlesnake, Crotalus atrox
n03986562	porthole
n03465718	guestroom
n03440682	glockenspiel, orchestral bells
n02785648	bandage, patch
n13054073	agaric, Fomes igniarius
n01887474	livestock, stock, farm animal
n01682435	basilisk
n01456756	seahorse, sea horse
n07749446	kumquat
n12305986	mountain ash, Fraxinus texensis
n12791329	mock orange, syringa, Philadelphus coronarius
n04189816	Sheetrock
n04513827	upholstery
n12476510	agave, century plant, American aloe
n02976350	casement
n03002816	chalet
n07581346	appetizer, appetiser, starter
n01568294	American redstart, redstart, Setophaga ruticilla
n02365480	capybara, capibara, Hydrochoerus hydrochaeris
n01555305	scissortail, scissortailed flycatcher, Muscivora-forficata
n01775062	wolf spider, hunting spider
n03521544	hip boot, thigh boot
n09635534	Black African
n03841666	office, business office
n02814533	beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon
n02756098	attire, garb, dress
n07575726	dinner
n13069773	felt fungus, Septobasidium pseudopedicellatum
n02082791	aardvark, ant bear, anteater, Orycteropus afer
n04068441	refinery
n03612010	ketch
n01326291	microorganism, micro-organism
n02839351	billiard ball
n03898633	patchwork, patchwork quilt
n10710913	tiler
n02122725	tom, tomcat
n02836392	bier
n03469903	gunnysack, gunny sack, burlap bag
n04412416	tepee, tipi, teepee
n03320845	fanion
n10627252	soul mate
n02333546	brown rat, Norway rat, Rattus norvegicus
n04506289	uke, ukulele
n04465666	tractor
n02108551	Tibetan mastiff
n03904183	pedestrian crossing, zebra crossing
n03982430	pool table, billiard table, snooker table
n12765402	Brazilian pepper tree, Schinus terebinthifolius
n02393161	black rhinoceros, Diceros bicornis
n07619409	creme brulee
n12075010	fly orchid, Ophrys insectifera, Ophrys muscifera
n11889619	candytuft
n07714078	kale, kail, cole
n03131574	crib, cot
n11624192	Atlas cedar, Cedrus atlantica
n02974003	car wheel
n12790430	deutzia
n02125311	cougar, puma, catamount, mountain lion, painter, panther, Felis concolor
n06266633	Fleet Street
n02375302	roan
n01537544	indigo bunting, indigo finch, indigo bird, Passerina cyanea
n01747885	cobra
n10763383	waiter, server
n03717131	manger, trough
n10376523	oldster, old person, senior citizen, golden ager
n03095699	container ship, containership, container vessel
n03877472	pajama, pyjama, pj's, jammies
n10143172	grandparent
n03688605	long trousers, long pants
n07924443	cranberry juice
n03587205	irrigation ditch
n02424909	nyala, Tragelaphus angasi
n02677718	action, action mechanism
n01978455	rock crab, Cancer irroratus
n04469003	tramline, tramway, streetcar track
n10320863	minister, government minister
n11988596	tidytips, tidy tips, Layia platyglossa
n01847000	drake
n12189987	baobab, monkey-bread tree, Adansonia digitata
n01857079	snow goose
n11876634	cauliflower, Brassica oleracea botrytis
n12928071	slipper spurge, slipper plant
n11956850	coreopsis, tickseed, tickweed, tick-weed
n03884926	pantheon
n02367492	chinchilla, Chinchilla laniger
n01602832	red-eyed vireo, Vireo olivaceous
n04204347	shopping cart
n01565078	lesser whitethroat, whitethroat, Sylvia curruca
n02921884	burial chamber, sepulcher, sepulchre, sepulture
n01528396	wagtail
n07613480	trifle
n07612137	pavlova
n01693783	chameleon, chamaeleon
n12076577	moth orchid, moth plant
n03791235	motor vehicle, automotive vehicle
n02841315	binoculars, field glasses, opera glasses
n02922292	burial mound, grave mound, barrow, tumulus
n04082886	reticle, reticule, graticule
n02123597	Siamese cat, Siamese
n09362945	mull
n12782530	sundew, sundew plant, daily dew
n02416104	aoudad, arui, audad, Barbary sheep, maned sheep, Ammotragus lervia
n03924679	photocopier
n04153025	screen door, screen
n03792048	mound, hill
n12713866	cork tree, Phellodendron amurense
n03113152	cosmetic
n11866248	spiderflower, cleome
n01614343	golden eagle, Aquila chrysaetos
n11901977	oriental poppy, Papaver orientale
n01852142	wood duck, summer duck, wood widgeon, Aix sponsa
n03647520	launcher, rocket launcher
n12905412	Christmasberry, Christmas berry, Lycium carolinianum
n07590320	goulash, Hungarian goulash, gulyas
n04350458	suede cloth, suede
n01477525	lamprey, lamprey eel, lamper eel
n07716358	zucchini, courgette
n01580077	jay
n10116702	futurist
n02649546	flathead
n11545714	fern
n12779603	pitcher plant
n04534895	vigil light, vigil candle
n03506370	health spa, spa, health club
n02386310	workhorse
n03073977	column, pillar
n01814217	mourning dove, Zenaidura macroura
n04459610	toweling, towelling
n03101517	cookie cutter
n02504013	Indian elephant, Elephas maximus
n03574816	instrument
n02491107	tamarin, lion monkey, lion marmoset, leoncita
n03116530	counter
n07705931	edible fruit
n10672371	Sufi
n03772077	minster
n12622875	agrimonia, agrimony
n03536122	horizontal stabilizer, horizontal stabiliser, tailplane
n02307325	tent caterpillar
n13108131	bean tree
n12031927	ironweed, vernonia
n12620546	hip, rose hip, rosehip
n03179701	desk
n02696165	alehouse
n03226538	double-breasted suit
n07761141	cherimoya, cherimolla
n04422727	thermos, thermos bottle, thermos flask
n11544015	hepatica, Marchantia polymorpha
n02316707	echinoderm
n03680355	Loafer
n09505153	spiritual leader
n07580470	chicken casserole
n03417970	garden rake
n02081571	walrus, seahorse, sea horse
n02087046	toy terrier
n11944196	thistle
n03341153	finger
n07902336	aqua vitae, ardent spirits
n15075141	toilet tissue, toilet paper, bathroom tissue
n09934774	coiffeur
n02813645	bazaar, bazar
n07869775	kabob, kebab, shish kebab
n02377703	saddle horse, riding horse, mount
n01591123	red-breasted nuthatch, Sitta canadensis
