n04403638	telescope
n12307756	privet
n12320010	hickory
n12334891	eucalyptus
n12353431	abaca
n12356395	turmeric
n12357485	shellflower
n12358293	cardamom
n12371704	silvervine
n12392070	nettle
n12393269	ramie
n12397431	Indian hemp
n12401335	fig tree
n12402596	pipal
n12403994	paper mulberry
n12405714	elm
n12407715	Chinese elm
n12409231	hackberry
n12413301	Dutch iris
n12414159	German iris
n12414818	Dutch iris
n12416703	saffron
n12419037	amaryllis
n12425281	liliaceous plant
n12433178	shallot
n12433952	Welsh onion
n12435152	chives
n12463134	butcher's broom
n12481458	mother-in-law's tongue
n12482437	Spanish bayonet
n12482668	Spanish bayonet
n12493426	carob
n12496949	logwood
n12517642	blue pea
n12526516	tick trefoil
n12528974	Indian coral tree
n12553742	bead tree
n12557064	kidney bean
n12564083	winged bean
n12575812	tufted vetch
n12584365	betel palm
n12584715	sugar palm
n12590499	African oil palm
n12594989	raffia palm
n12599185	English plantain
n12601494	buckwheat
n12615232	tape grass
n12615710	pondweed
n12621945	Cherokee rose
n12628986	quince
n12630763	beach strawberry
n12631331	avens
n12634734	Siberian crab
n12637123	silverweed
n12640607	apricot
n12641931	wild cherry
n12648196	nectarine
